policy,seed,terrain,forward_velocity_mean,forward_velocity_std,fall_rate,success_rate,stall_rate,cost_of_transport,foot_contact_variance,base_height_variance
A_rigid,0,T0_rigid,0.23278356281061233,0.001518259196378851,0.0,1.0,0.0,1.634649585259006,0.47654677000000006,0.0001000307594653203
A_rigid,0,T1_firm,0.21863958688784849,0.061485250369081285,0.13,0.87,0.0,2.0308838551590194,0.1538732609675658,0.00013751388647357187
A_rigid,0,T2,0.2231991697393685,0.02039798749172856,0.04,0.96,0.0,2.1731430253172777,0.17766812894201447,0.00011658467676417192
A_rigid,0,T3,0.25281490048216215,0.001672429362295498,0.0,1.0,0.0,1.6901753056931264,0.29763924,0.00012877014367526095
A_rigid,0,T4,0.2870920413160797,0.013201508703726496,0.01,0.99,0.0,1.9177923368863223,0.5968672772139986,0.00014114958170929664
A_rigid,0,T5,0.22830768460730597,0.031694418129237414,1.0,0.0,0.0,,0.7607264788560749,0.00036375510938261446
A_rigid,0,T6_train_edge,0.20311334254028132,0.03826873273748122,1.0,0.0,0.0,,0.7605527374664831,0.0004824452176678392
A_rigid,0,T7_extrap,0.17585311497898184,0.06410900564043366,1.0,0.0,0.0,,0.6455659550554043,0.0007908301260726729
A_rigid,0,T8_extrap,0.161404962458487,0.05458260809512944,1.0,0.0,0.0,,0.5804491151793294,0.0012669017676736557
A_rigid,0,T9_extrap_soft,0.12746877585816804,0.0912981168159512,1.0,0.0,0.0,,0.6402473043234626,0.0018668503529991481
A_rigid,1,T0_rigid,0.2162356878151861,0.0024429997772876383,0.0,1.0,0.0,2.1164201305122825,0.45012287,0.00021713492347692407
A_rigid,1,T1_firm,0.2089449266478068,0.0034845890146082844,0.0,0.89,0.0,3.7934115155870423,0.36454893,0.00020426043465543407
A_rigid,1,T2,0.21665195034999107,0.005242016481805203,0.0,0.96,0.03,2.835577798451212,0.45623425000000006,0.00018820788574049017
A_rigid,1,T3,0.2119358727604164,0.016478803508832993,0.01,0.88,0.07,2.697256016085004,0.5367410199908172,0.000163738115733543
A_rigid,1,T4,0.16219555616041947,0.02293794575769887,0.92,0.02,0.01,7.810204005123532,0.9823978487676844,0.0007237689948907127
A_rigid,1,T5,0.12534675293278014,0.040158807185544515,0.95,0.0,0.04,33.08232498761834,0.9684943909340571,0.0010384321432858094
A_rigid,1,T6_train_edge,0.10722125809535525,0.06812836589890749,1.0,0.0,0.0,,0.8441571560666202,0.0013273462015648708
A_rigid,1,T7_extrap,0.11541974312631964,0.07881998451079543,1.0,0.0,0.0,,0.7943943924131321,0.001784768866190522
A_rigid,1,T8_extrap,0.10287997172667977,0.06788991030571428,1.0,0.0,0.0,,0.6948104603459637,0.001748121386942872
A_rigid,1,T9_extrap_soft,0.090505156975597,0.06203568910165919,1.0,0.0,0.0,,0.6169115043923662,0.001807948295789926
A_rigid,2,T0_rigid,0.21414916695391586,0.002051857600020409,0.0,1.0,0.0,1.5069809235011793,0.63833158,0.0001323503864827007
A_rigid,2,T1_firm,0.201199536911889,0.08405434591089843,0.08,0.92,0.0,1.4532523576630165,0.2889111177914952,0.00015168732419463697
A_rigid,2,T2,0.23398556488239325,0.04691381586793039,0.04,0.96,0.0,1.4070102534774467,0.3719442179572039,0.00012341839791655103
A_rigid,2,T3,0.26628625098590286,0.04074525363197782,0.0,1.0,0.0,1.4432370689291307,0.55661848,0.00012488387191281436
A_rigid,2,T4,0.3329915328299413,0.022917245695903764,0.01,0.99,0.0,1.8913856944974328,0.6759707338638985,0.0001673796242864619
A_rigid,2,T5,0.2538307755255835,0.03315548986364372,0.99,0.01,0.0,8.393439310664732,0.8704720284410901,0.00025227486965435984
A_rigid,2,T6_train_edge,0.23785560249852264,0.04268955112958214,1.0,0.0,0.0,,0.9247623825442222,0.00041743570019760895
A_rigid,2,T7_extrap,0.18895002479203923,0.04913703598302823,1.0,0.0,0.0,,0.7649965419872182,0.0008036595059902892
A_rigid,2,T8_extrap,0.13956800258015464,0.07934299422671902,1.0,0.0,0.0,,0.6818185304087214,0.0014488918625280732
A_rigid,2,T9_extrap_soft,0.06435366438187994,0.05901425909183868,1.0,0.0,0.0,,0.7234726435011314,0.0017865704638799062
A_rigid,3,T0_rigid,0.21544883965740383,0.0022698157883418125,0.0,1.0,0.0,1.5767012663820388,0.19483225,4.042052360018688e-05
A_rigid,3,T1_firm,0.19170008233648367,0.012738035597274914,0.27,0.73,0.0,2.0438478982737336,0.3903081180304916,7.705222129088117e-05
A_rigid,3,T2,0.19344098327049872,0.017591750910420218,0.03,0.97,0.0,1.8519603568045786,0.4268520959151923,6.132134687448271e-05
A_rigid,3,T3,0.12791298698102285,0.06083661946856689,1.0,0.0,0.0,,0.8428409496458146,0.0005446655109751417
A_rigid,3,T4,0.18462864881939367,0.022036611155905616,0.89,0.05,0.0,6.778491295850183,0.7106295373855837,0.0003606516094736942
A_rigid,3,T5,0.22026147146556718,0.0037865823784181633,0.0,1.0,0.0,2.5163328148822712,0.49685424000000006,8.155699685556118e-05
A_rigid,3,T6_train_edge,0.18908666241365102,0.016052245771557026,0.03,0.91,0.01,3.4523429151167186,0.47081460014677107,0.0001358325073442594
A_rigid,3,T7_extrap,0.10815265119594528,0.034960545298079876,1.0,0.0,0.0,,0.770865543018094,0.0010218618526062536
A_rigid,3,T8_extrap,0.14521349653040116,0.061870047862654716,1.0,0.0,0.0,,0.8560673527415636,0.0018527039392553426
A_rigid,3,T9_extrap_soft,0.13671452336155437,0.060588762725400876,1.0,0.0,0.0,,0.7688587477293641,0.001851812419007153
